Number,Name,Investment company,Date,File path,Recommend
6213,聯茂,統一投顧,2018_03_31,/home/cosbi/桌面/financialData/gmailData/data/6213/6213_聯茂_2018-03-31_統一投顧_統一投顧-廖婉婷-【投資速報】聯茂 (6213.TT，買進) 漲價已反應原料壓力，重新聚焦網通訂單具高掌握度.pdf,NULL
9934,成霖,國票,2018_03_15,/home/cosbi/桌面/financialData/gmailData/data/9934/9934_成霖_2018-03-15_國票_9934成霖03152018.pdf,NULL
9802,鈺齊-KY,統一投顧,2018_03_16,/home/cosbi/桌面/financialData/gmailData/data/9802/9802_鈺齊-KY_2018-03-16_統一投顧_統一投顧-蔡爵丞-【投資速報】鈺齊-KY (9802.TT，買進) 新產線良率回升，營運谷底已過，高殖利率標的.pdf,NULL
4746,台耀,統一投顧,2018_03_16,/home/cosbi/桌面/financialData/gmailData/data/4746/4746_台耀_2018-03-16_統一投顧_統一投顧-張立群-【投資速報】台耀 (4746.TT，買進) 最壞狀況已過、2018獲利高成長可期.pdf,NULL
2439,美律,統一投顧,2018_03_01,/home/cosbi/桌面/financialData/gmailData/data/2439/2439_美律_2018-03-01_統一投顧_統一投顧-陳佑任-【投資速報】美律 (2439.TT，中立) 1Q18營運大不如預期，股價建議擇低布局.pdf,NULL
3708,上緯,國票,2018_04_02,/home/cosbi/桌面/financialData/gmailData/data/3708/3708_上緯_2018-04-02_國票_3708上緯投控04022018.pdf,NULL
6414,樺漢,國票,2018_03_31,/home/cosbi/桌面/financialData/gmailData/data/6414/6414_樺漢_2018-03-31_國票_6414樺漢03312018.pdf,NULL
2313,華通,統一投顧,2018_03_09,/home/cosbi/桌面/financialData/gmailData/data/2313/2313_華通_2018-03-09_統一投顧_統一投顧-廖婉婷-【投資速報】華通 (2313.TT，買進) 第一季為全年谷底，2018年穩定中求成長.pdf,NULL
6456,GIS-KY,統一投顧,2018_03_31,/home/cosbi/桌面/financialData/gmailData/data/6456/6456_GIS-KY_2018-03-31_統一投顧_統一投顧-蔡濰年-【投資速報】GIS-KY (6456.TT，中立) 1H18營運持續探底，靜待下半年新產品拉貨.pdf,NULL
2618,長榮航,國票,2018_03_31,/home/cosbi/桌面/financialData/gmailData/data/2618/2618_長榮航_2018-03-31_國票_2618長榮航03312018.pdf,NULL
6205,詮欣,統一投顧,2018_03_01,/home/cosbi/桌面/financialData/gmailData/data/6205/6205_詮欣_2018-03-01_統一投顧_統一投顧-吳大任-【投資速報】詮欣 (6205.TT，中立) 營運遭遇逆風，靜待下半年新客戶加入.pdf,NULL
8436,大江,國票,2018_03_07,/home/cosbi/桌面/financialData/gmailData/data/8436/8436_大江_2018-03-07_國票_8436大江03072018.pdf,NULL
3406,玉晶光,統一投顧,2018_03_21,/home/cosbi/桌面/financialData/gmailData/data/3406/3406_玉晶光_2018-03-21_統一投顧_統一投顧-陳佑任-【投資速報】玉晶光 (3406.TT，買進) 華為3D sensing供應鏈，玉晶光為主要供應.pdf,NULL
5439,高技,統一投顧,2018_03_23,/home/cosbi/桌面/financialData/gmailData/data/5439/5439_高技_2018-03-23_統一投顧_統一投顧-廖婉婷-【投資速報】高技 (5439.TT，買進) 網通需求熱，汽車訂單加溫，3月起營收逐月挑戰新高.pdf,NULL
2377,微星,國票,2018_03_30,/home/cosbi/桌面/financialData/gmailData/data/2377/2377_微星_2018-03-30_國票_2377微星03302018.pdf,NULL
2324,仁寶,統一投顧,2018_03_20,/home/cosbi/桌面/financialData/gmailData/data/2324/2324_仁寶_2018-03-20_統一投顧_統一投顧-吳大任-【投資速報】仁寶 (2324.TT，中立) 短期內獲利動能難以回升，下修18年獲利預估.pdf,NULL
2882,國泰金,國票,2018_03_23,/home/cosbi/桌面/financialData/gmailData/data/2882/2882_國泰金_2018-03-23_國票_2882國泰金03232018.pdf,NULL
1305,華夏,國票,2018_03_13,/home/cosbi/桌面/financialData/gmailData/data/1305/1305_華夏_2018-03-13_國票_1305華夏03132018.pdf,NULL
2353,宏碁,統一投顧,2018_03_05,/home/cosbi/桌面/financialData/gmailData/data/2353/2353_宏碁_2018-03-05_統一投顧_統一投顧- 吳大任-【初次報告】宏碁(2353.TT，買進) 營運體質調整有成，18年獲利將重返成長.pdf,NULL
2890,永豐金,永豐,2018_03_14,/home/cosbi/桌面/financialData/gmailData/data/2890/2890_永豐金_2018-03-14_永豐_統一投顧-陳晏平-【投資速報】永豐金 (2890.TT，買進) 2018年獲利持續成長、現金殖利率4~5%.pdf,NULL
5871,中租-KY,統一投顧,2018_03_22,/home/cosbi/桌面/financialData/gmailData/data/5871/5871_中租-KY_2018-03-22_統一投顧_統一投顧-陳晏平-【投資速報】中租-KY (5871.TT，買進) 放款動能續強、提存費用續減，18年獲利將成長兩成.pdf,NULL
1723,中碳,統一投顧,2018_03_08,/home/cosbi/桌面/financialData/gmailData/data/1723/1723_中碳_2018-03-08_統一投顧_統一投顧-蔡爵丞-【投資速報】中碳 (1723.TT，買進) 台塑越鋼供料增加挹注成長，中國電動車題材發燒.pdf,NULL
8938,明安,統一投顧,2018_03_15,/home/cosbi/桌面/financialData/gmailData/data/8938/8938_明安_2018-03-15_統一投顧_統一投顧-蔡爵丞-【投資速報】明安 (8938.TT，買進) 高爾夫產業復甦，躍居Apple200大供應鏈，展望樂觀.pdf,NULL
2231,為升,國票,2018_03_07,/home/cosbi/桌面/financialData/gmailData/data/2231/2231_為升_2018-03-07_國票_2231為升03072018.pdf,NULL
5255,美桀,國票,2018_03_22,/home/cosbi/桌面/financialData/gmailData/data/5255/5255_美桀_2018-03-22_國票_5255美桀03222018.pdf,NULL
2881,富邦金,國票,2018_03_26,/home/cosbi/桌面/financialData/gmailData/data/2881/2881_富邦金_2018-03-26_國票_2881富邦金03262018.pdf,NULL
4958,臻鼎-KY,統一投顧,2018_03_07,/home/cosbi/桌面/financialData/gmailData/data/4958/4958_臻鼎-KY_2018-03-07_統一投顧_統一投顧-廖婉婷-【投資速報】臻鼎-KY (4958.TT，買進) 2017年PCB產值稱霸全球，獲利恢復成長.pdf,NULL
5234,達興材料,統一投顧,2018_03_26,/home/cosbi/桌面/financialData/gmailData/data/5234/5234_達興材料_2018-03-26_統一投顧_統一投顧-蔡濰年-【投資速報】達興材料 (5234.TT，中立) 營運持續強勁，惟評價已反映今年獲利成長.pdf,NULL
2888,新光金,國票,2018_03_30,/home/cosbi/桌面/financialData/gmailData/data/2888/2888_新光金_2018-03-30_國票_2888新光金03302018.pdf,NULL
5289,宜鼎,統一投顧,2018_04_11,/home/cosbi/桌面/financialData/gmailData/data/5289/5289_宜鼎_2018-04-11_統一投顧_統一投顧-鄭高輯-【投資速報】宜鼎(5289.TT，買進) 產能倍數擴充，迎接工控成長趨勢.pdf,NULL
1476,儒鴻,國票,2018_03_21,/home/cosbi/桌面/financialData/gmailData/data/1476/1476_儒鴻_2018-03-21_國票_1476儒鴻03212018.pdf,NULL
6446,藥華藥,統一投顧,2018_03_22,/home/cosbi/桌面/financialData/gmailData/data/6446/6446_藥華藥_2018-03-22_統一投顧_統一投顧-張立群-【投資速報】藥華藥(6446.TT，買進) 美國藥證申請傳佳音，2019美國藥證可期.pdf,NULL
2723,美食-KY,統一投顧,2018_03_19,/home/cosbi/桌面/financialData/gmailData/data/2723/2723_美食-KY_2018-03-19_統一投顧_統一投顧-王寧毅-【投資速報】美食-KY (2723.TT，中立) 中、美國兩地展店加速，18年集團營運成長可期.pdf,NULL
