ID,stockNum,stockName,date,filename,inputTime,username
131,3376,新日興,2018_06_18,3376_新日興_2018-06-18_下午12:07:47.txt,下午12:07:47,c21221203
132,9934,成霖,2018_06_18,9934_成霖_2018-06-18_下午12:39:36.txt,下午12:39:36,c21221203
133,1597,直得,2018_06_18,1597_直得_2018-06-18_下午12:39:41.txt,下午12:39:41,c21221203
134,2233,宇隆,2018_06_18,2233_宇隆_2018-06-18_下午12:40:19.txt,下午12:40:19,c21221203
135,4554,橙的,2018_06_18,4554_橙的_2018-06-18_下午12:40:50.txt,下午12:40:50,c21221203
136,3042,晶技,2018_06_18,3042_晶技_2018-06-18_下午12:41:11.txt,下午12:41:11,c21221203
137,6456,GIS-KY,2018_06_18,6456_GIS-KY_2018-06-18_下午12:41:50.txt,下午12:41:50,c21221203
138,6456,GIS-KY,2018_06_18,6456_GIS-KY_2018-06-18_下午12:42:10.txt,下午12:42:10,c21221203
139,6573,虹揚-KY,2018_06_18,6573_虹揚-KY_2018-06-18_下午12:42:34.txt,下午12:42:34,c21221203
140,4566,時碩工業,2018_06_18,4566_時碩工業_2018-06-18_下午12:42:49.txt,下午12:42:49,c21221203
141,1786,科妍,2018_06_18,1786_科妍_2018-06-18_下午12:43:23.txt,下午12:43:23,c21221203
142,1507,永大,2018_06_18,1507_永大_2018-06-18_下午12:43:34.txt,下午12:43:34,c21221203
143,3189,景碩,2018_06_18,3189_景碩_2018-06-18_下午12:44:06.txt,下午12:44:06,c21221203
144,3189,景碩,2018_06_18,3189_景碩_2018-06-18_下午12:44:22.txt,下午12:44:22,c21221203
145,3008,大立光,2018_06_18,3008_大立光_2018-06-18_下午12:44:36.txt,下午12:44:36,c21221203
146,6435,大中,2018_06_18,6435_大中_2018-06-18_下午12:44:57.txt,下午12:44:57,c21221203
147,6138,茂達,2018_06_18,6138_茂達_2018-06-18_下午12:45:10.txt,下午12:45:10,c21221203
148,1718,中纖,2018_06_18,1718_中纖_2018-06-18_下午12:45:27.txt,下午12:45:27,c21221203
149,2344,華邦電,2018_06_18,2344_華邦電_2018-06-18_下午12:45:46.txt,下午12:45:46,c21221203
150,9958,世紀鋼,2018_06_18,9958_世紀鋼_2018-06-18_下午12:46:43.txt,下午12:46:43,c21221203
151,2327,國巨,2018_06_18,2327_國巨_2018-06-18_下午12:47:19.txt,下午12:47:19,c21221203
152,5349,先豐,2018_06_18,5349_先豐_2018-06-18_下午12:48:17.txt,下午12:48:17,c21221203
153,1568,倉佑,2018_06_18,1568_倉佑_2018-06-18_下午12:48:36.txt,下午12:48:36,c21221203
154,2383,台光電,2018_06_18,2383_台光電_2018-06-18_下午12:49:22.txt,下午12:49:22,c21221203
155,2637,慧洋-KY,2018_06_18,2637_慧洋-KY_2018-06-18_下午12:51:14.txt,下午12:51:14,c21221203
