ID,stockNum,stockName,date,investmentCompany,filename,recommend
4782,6442,光聖,2019_01_25,元富,6442_光聖_2019-01-25_元富_光聖(6442)-20190125-速報.pdf,NULL
4783,2337,旺宏,2019_01_25,第一金,2337_旺宏_2019-01-25_第一金_旺宏電子(2337)-中立.pdf,NULL
4784,5522,遠雄,2019_01_25,第一金,5522_遠雄_2019-01-25_第一金_遠雄(5522)-區間操作.pdf,NULL
4785,6279,胡連,2019_01_25,第一金,6279_胡連_2019-01-25_第一金_胡連(6279)-中立.pdf,NULL
4786,6290,良維,2019_01_25,元富,6290_良維_2019-01-25_元富_6290良維20190125-報告.pdf,NULL
4787,4105,東洋,2019_01_25,元富,4105_東洋_2019-01-25_元富_東洋(4105)-20190125-速報.pdf,NULL
4788,6290,良維,2019_01_25,元富,6290_良維_2019-01-25_元富_良維(6290)-20190125-速報.pdf,NULL
4789,6581,鋼聯,2019_01_25,元富,6581_鋼聯_2019-01-25_元富_6581鋼聯20190125-報告.pdf,NULL
4790,6442,光聖,2019_01_25,元富,6442_光聖_2019-01-25_元富_6442光聖20190125-報告.pdf,NULL
4791,1314,中石化,2019_01_26,富邦台灣,1314_中石化_2019-01-26_富邦台灣_1314_中石化_snapshot_c_011719.pdf,NULL
4792,4541,晟田,2019_01_26,富邦台灣,4541_晟田_2019-01-26_富邦台灣_4541_晟田_snapshot_c_011819.pdf,NULL
4793,2301,光寶科,2019_01_26,富邦台灣,2301_光寶科_2019-01-26_富邦台灣_2301_光寶科_snapshot_c_011619.pdf,NULL
4794,8404,百和興業-KY,2019_01_26,富邦台灣,8404_百和興業-KY_2019-01-26_富邦台灣_8404_百和-KY_snapshot_c_011619.pdf,NULL
4795,2408,南亞科,2019_01_26,富邦台灣,2408_南亞科_2019-01-26_富邦台灣_2408_南亞科_snapshot_0116_2019.pdf,NULL
4796,2385,群光,2019_01_26,富邦台灣,2385_群光_2019-01-26_富邦台灣_2385_群光_snapshot_c_011719.pdf,NULL
4797,5483,中美晶,2019_01_26,富邦台灣,5483_中美晶_2019-01-26_富邦台灣_5483_中美晶_snapshot_c_011719.pdf,NULL
4798,8104,錸寶科技,2019_01_26,富邦台灣,8104_錸寶科技_2019-01-26_富邦台灣_8104_錸寶 _snapshot_c_011719.pdf,NULL
4799,3008,大立光,2019_01_26,富邦台灣,3008_大立光_2019-01-26_富邦台灣_3008_大立光_In-depth_011519.pdf,NULL
4800,4126,太醫,2019_01_26,富邦台灣,4126_太醫_2019-01-26_富邦台灣_4126_太醫_snapshot_c_011719.pdf,NULL
4801,6192,巨路,2019_01_27,富邦台灣,6192_巨路_2019-01-27_富邦台灣_6192_巨路_snapshot_c_012419.pdf,NULL
4802,2886,兆豐金,2019_01_27,兆豐,2886_兆豐金_2019-01-27_兆豐_2886_兆豐金_snapshot_c_012319.pdf,NULL
4803,5264,鎧勝-KY,2019_01_27,富邦台灣,5264_鎧勝-KY_2019-01-27_富邦台灣_5264_鎧勝_snapshot_c_012419.pdf,NULL
4804,3042,晶技,2019_01_27,富邦台灣,3042_晶技_2019-01-27_富邦台灣_3042_晶技_snapshot_c_012319.pdf,NULL
4805,4735,豪展,2019_01_27,富邦台灣,4735_豪展_2019-01-27_富邦台灣_4735_豪展_snapshot_c_012519.pdf,NULL
4806,1477,聚陽,2019_01_27,富邦台灣,1477_聚陽_2019-01-27_富邦台灣_1477_聚陽_snapshot_c_012519.pdf,NULL
4807,2228,劍麟,2019_01_27,富邦台灣,2228_劍麟_2019-01-27_富邦台灣_2228_劍麟_snapshot_c_012519.pdf,NULL
4808,8454,富邦媒,2019_01_27,富邦台灣,8454_富邦媒_2019-01-27_富邦台灣_8454_富邦媒體科技_snapshot_c_012219.pdf,NULL
4809,4551,智伸科,2019_01_27,富邦台灣,4551_智伸科_2019-01-27_富邦台灣_4551_智伸科_snapshot_c_012319.pdf,NULL
4810,2337,旺宏,2019_01_27,富邦台灣,2337_旺宏_2019-01-27_富邦台灣_2337_旺宏_snapshot_c_012519.pdf,NULL
4811,4551,智伸科,2019_01_28,NULL,4551_智伸科_2019-01-28__4551 TT 20190125.pdf,NULL
4812,4766,南寶,2019_01_28,NULL,4766_南寶_2019-01-28__4766 TT 20190125.pdf,NULL
4813,5425,台半,2019_01_28,國票,5425_台半_2019-01-28_國票_國票5425台半01282019.pdf,NULL
4814,4129,聯合,2019_01_28,元富,4129_聯合_2019-01-28_元富_聯合(4129)-20190128-速報.pdf,NULL
4815,6609,瀧澤科,2019_01_28,中信投顧,6609_瀧澤科_2019-01-28_中信投顧_中信個股報告-20190128_6609瀧澤科.pdf,NULL
4816,1530,亞崴,2019_01_28,中信投顧,1530_亞崴_2019-01-28_中信投顧_中信個股報告-20190128_1530亞崴.pdf,NULL
4817,4953,緯軟,2019_01_28,國票,4953_緯軟_2019-01-28_國票_國票4953緯軟01282019.pdf,NULL
4818,6488,環球晶,2019_01_28,國票,6488_環球晶_2019-01-28_國票_國票6488環球晶01282019.pdf,NULL
4819,3504,揚明光,2019_01_28,國票,3504_揚明光_2019-01-28_國票_國票3504揚明光01282019.pdf,NULL
4820,1589,永冠-KY,2019_01_28,國票,1589_永冠-KY_2019-01-28_國票_國票1589永冠-KY01282019.pdf,NULL
4821,2059,川湖,2019_01_28,NULL,2059_川湖_2019-01-28__2059 TT 20190128.pdf,NULL
4822,8215,明基材,2019_01_28,NULL,8215_明基材_2019-01-28__8215 TT 20190128.pdf,NULL
4823,5264,鎧勝-KY,2019_01_29,中信投顧,5264_鎧勝-KY_2019-01-29_中信投顧_中信個股報告-20190129_5264鎧勝-KY.pdf,NULL
4824,1736,喬山,2019_01_29,元富,1736_喬山_2019-01-29_元富_1736喬山20190128-報告.pdf,NULL
4825,6285,啟碁,2019_01_29,中信投顧,6285_啟碁_2019-01-29_中信投顧_中信個股報告-20190129_6285啟碁.pdf,NULL
4826,6202,盛群,2019_01_29,元富,6202_盛群_2019-01-29_元富_盛群(6202)-20190129-速報.pdf,NULL
4827,6202,盛群,2019_01_29,國票,6202_盛群_2019-01-29_國票_國票6202盛群01292019.pdf,NULL
4828,1531,高林股,2019_01_29,元富,1531_高林股_2019-01-29_元富_高林股(1531)-20190129-速報.pdf,NULL
4829,6278,台表科,2019_01_29,元富,6278_台表科_2019-01-29_元富_台表科(6278)-20190129-速報.pdf,NULL
4830,1909,榮成,2019_01_29,國票,1909_榮成_2019-01-29_國票_國票1909榮成01292019.pdf,NULL
4831,1319,東陽,2019_01_29,第一金,1319_東陽_2019-01-29_第一金_東陽(1319)-中立.pdf,NULL
4832,2327,國巨,2019_01_29,第一金,2327_國巨_2019-01-29_第一金_國巨(2327)-區間.pdf,NULL
4833,6278,台表科,2019_01_29,元富,6278_台表科_2019-01-29_元富_6278台表科20190129-報告.pdf,NULL
4834,3548,兆利,2019_01_29,NULL,3548_兆利_2019-01-29__3548 TT 20190129.pdf,NULL
4835,6442,光聖,2019_01_29,NULL,6442_光聖_2019-01-29__6442 TT 20190129.pdf,NULL
4836,1312,國喬,2019_01_30,中信投顧,1312_國喬_2019-01-30_中信投顧_中信個股報告-20190130_1312國喬.pdf,NULL
4837,5371,中光電,2019_01_30,中信投顧,5371_中光電_2019-01-30_中信投顧_中信個股報告-20190130_5371中光電.pdf,NULL
4838,2379,瑞昱,2019_01_30,中信投顧,2379_瑞昱_2019-01-30_中信投顧_中信個股報告-20190130_2379瑞昱.pdf,NULL
4839,2409,友達,2019_01_30,中信投顧,2409_友達_2019-01-30_中信投顧_中信個股報告-20190130_2409友達.pdf,NULL
4840,2303,聯電,2019_01_30,國票,2303_聯電_2019-01-30_國票_國票2303聯電01302019.pdf,NULL
4841,2729,瓦城,2019_01_30,中信投顧,2729_瓦城_2019-01-30_中信投顧_中信個股報告-20190130_2729瓦城.pdf,NULL
4842,3708,上緯,2019_01_30,國票,3708_上緯_2019-01-30_國票_國票3708上緯01302019.pdf,NULL
4843,8279,生展,2019_01_30,中信投顧,8279_生展_2019-01-30_中信投顧_中信個股報告-20190130_8279生展.pdf,NULL
4844,1702,南僑,2019_01_30,國票,1702_南僑_2019-01-30_國票_國票1702南僑01302019.pdf,NULL
4845,6213,聯茂,2019_01_30,國票,6213_聯茂_2019-01-30_國票_國票6213聯茂01302019.pdf,NULL
4846,4129,聯合,2019_01_30,元富,4129_聯合_2019-01-30_元富_4129聯合20190130-報告.pdf,NULL
4847,5371,中光電,2019_01_30,第一金,5371_中光電_2019-01-30_第一金_中光電(5371)-區間.pdf,NULL
4848,4105,東洋,2019_01_30,元富,4105_東洋_2019-01-30_元富_4105東洋20190130-報告.pdf,NULL
4849,2303,聯電,2019_01_30,元富,2303_聯電_2019-01-30_元富_2303聯電20190130-報告.pdf,NULL
4850,2355,敬鵬,2019_01_30,元富,2355_敬鵬_2019-01-30_元富_敬鵬(2355)-20190130-速報.pdf,NULL
4851,8464,億豐,2019_01_30,元富,8464_億豐_2019-01-30_元富_億豐(8464)-20190130-速報.pdf,NULL
4852,2409,友達,2019_01_30,元富,2409_友達_2019-01-30_元富_2409友達20190130-報告.pdf,NULL
4853,3693,營邦,2019_01_30,元富,3693_營邦_2019-01-30_元富_營邦(3693)-20190130-速報.pdf,NULL
4854,2409,友達,2019_01_30,國票,2409_友達_2019-01-30_國票_國票2409友達01302019.pdf,NULL
4855,2379,瑞昱,2019_01_30,元富,2379_瑞昱_2019-01-30_元富_瑞昱(2379)-20190130-速報.pdf,NULL
4856,5371,中光電,2019_01_30,元富,5371_中光電_2019-01-30_元富_5371中光電20190130-報告.pdf,NULL
4857,2409,友達,2019_01_30,元富,2409_友達_2019-01-30_元富_友達(2409)-20190130-速報.pdf,NULL
4858,2062,橋椿,2019_01_30,元富,2062_橋椿_2019-01-30_元富_橋椿(2062)-20190130-速報.pdf,NULL
4859,6290,良維,2019_01_30,NULL,6290_良維_2019-01-30__6290 TT 20190130.pdf,NULL
4860,5371,中光電,2019_01_30,元富,5371_中光電_2019-01-30_元富_中光電(5371)-20190130-速報.pdf,NULL
4861,6202,盛群,2019_01_30,元富,6202_盛群_2019-01-30_元富_6202盛群20190130-報告.pdf,NULL
4862,6278,台表科,2019_01_30,NULL,6278_台表科_2019-01-30__6278 TT 20190130.pdf,NULL
4863,6581,鋼聯,2019_01_30,NULL,6581_鋼聯_2019-01-30__6581 TT 20190130.pdf,NULL
4864,2454,聯發科,2019_01_31,康和,2454_聯發科_2019-01-31_康和_康和投顧-2454聯發科-20190131.pdf,NULL
4865,2379,瑞昱,2019_01_31,元富,2379_瑞昱_2019-01-31_元富_2379瑞昱20190130-報告.pdf,NULL
4866,2379,瑞昱,2019_01_30,元富,2379_瑞昱_2019-01-30_元富_2379瑞昱20190130-報告.pdf,NULL
4867,2409,友達,2019_01_31,NULL,2409_友達_2019-01-31__2409 TT 20190131.pdf,NULL
4868,6166,凌華,2019_02_02,富邦台灣,6166_凌華_2019-02-02_富邦台灣_6166_凌華_snapshot_c_012919.pdf,NULL
4869,3376,新日興,2019_02_02,富邦台灣,3376_新日興_2019-02-02_富邦台灣_3376_新日興_snapshot_c_012819.pdf,NULL
4870,6415,矽力-KY,2019_02_02,富邦台灣,6415_矽力-KY_2019-02-02_富邦台灣_6415_矽力-KY_snapshot_c_012819.pdf,NULL
4871,2379,瑞昱,2019_02_02,富邦台灣,2379_瑞昱_2019-02-02_富邦台灣_2379_瑞昱_snapshot_c_013019.pdf,NULL
4872,2634,漢翔,2019_02_02,富邦台灣,2634_漢翔_2019-02-02_富邦台灣_2634_漢翔_snapshot_c_012819.pdf,NULL
4873,3081,聯亞,2019_02_02,富邦台灣,3081_聯亞_2019-02-02_富邦台灣_3081_聯亞_snapshot_c_013019.pdf,NULL
4874,3548,兆利,2019_02_02,富邦台灣,3548_兆利_2019-02-02_富邦台灣_3548_兆利_snapshot_c_013019.pdf,NULL
4875,2409,友達,2019_02_02,富邦台灣,2409_友達_2019-02-02_富邦台灣_2409_友達_snapshot_c_012919.pdf,NULL
4876,4803,VHQ-KY,2019_02_02,富邦台灣,4803_VHQ-KY_2019-02-02_富邦台灣_4803_VHQ-KY_snapshot_c_012819.pdf,NULL
4877,3044,健鼎,2019_02_02,富邦台灣,3044_健鼎_2019-02-02_富邦台灣_3044_健鼎_snapshot_c_012819.pdf,NULL
4878,3346,麗清,2019_02_02,富邦台灣,3346_麗清_2019-02-02_富邦台灣_3346_麗清_snapshot_c_013019.pdf,NULL
4879,2892,第一金,2019_02_02,第一金,2892_第一金_2019-02-02_第一金_2892_第一金_snapshot_c_012919.pdf,NULL
4880,9910,豐泰,2019_02_02,富邦台灣,9910_豐泰_2019-02-02_富邦台灣_9910_豐泰_snapshot_c_9013019.pdf,NULL
4881,6202,盛群,2019_02_02,富邦台灣,6202_盛群_2019-02-02_富邦台灣_6202_盛群_snapshot_c_012919.pdf,NULL
4882,8454,富邦媒,2019_02_11,中信投顧,8454_富邦媒_2019-02-11_中信投顧_中信個股報告-20190211_8454富邦媒.pdf,NULL
4883,6239,力成,2019_02_11,國票,6239_力成_2019-02-11_國票_國票6239力成02112019.pdf,NULL
4884,2303,聯電,2019_02_11,中信投顧,2303_聯電_2019-02-11_中信投顧_中信個股報告-20190211_2303聯電.pdf,NULL
4885,2441,超豐,2019_02_11,中信投顧,2441_超豐_2019-02-11_中信投顧_中信個股報告-20190211_2441超豐.pdf,NULL
4886,2344,華邦電,2019_02_11,中信投顧,2344_華邦電_2019-02-11_中信投顧_中信個股報告-20190211_2344華邦電.pdf,NULL
4887,6285,啟碁,2019_02_11,國票,6285_啟碁_2019-02-11_國票_國票6285啟碁02112019.pdf,NULL
4888,5347,世界,2019_02_11,中信投顧,5347_世界_2019-02-11_中信投顧_中信個股報告-20180211_5347世界.pdf,NULL
4889,2454,聯發科,2019_02_11,國票,2454_聯發科_2019-02-11_國票_國票2454聯發科02112019.pdf,NULL
