股票代號,股票名稱,日期,檔案路徑,輸入時間,Username
3035.0,智原,2018_06_02,/home/cosbi/桌面/financialData/lineMemo_data/3035_智原_2018-06-02_下午7:16:07.txt,下午7:16:07,c21221203
2481.0,強茂,2018_06_03,/home/cosbi/桌面/financialData/lineMemo_data/2481_強茂_2018-06-03_8:28:06 PM.txt,8:28:06 PM,popowing
6432.0,今展科,2018_06_05,/home/cosbi/桌面/financialData/lineMemo_data/6432_今展科_2018-06-05_下午10:33:33.txt,下午10:33:33,c21221203
6279.0,胡連,2018_06_06,/home/cosbi/桌面/financialData/lineMemo_data/6279_胡連_2018-06-06_3:44:18 PM.txt,3:44:18 PM,popowing
4736.0,泰博,2018_06_06,/home/cosbi/桌面/financialData/lineMemo_data/4736_泰博_2018-06-06_4:35:11 PM.txt,4:35:11 PM,popowing
5007.0,三星,2018_06_06,/home/cosbi/桌面/financialData/lineMemo_data/5007_三星_2018-06-06_4:40:08 PM.txt,4:40:08 PM,popowing
8942.0,森鉅,2018_06_06,/home/cosbi/桌面/financialData/lineMemo_data/8942_森鉅_2018-06-06_4:40:51 PM.txt,4:40:51 PM,popowing
4739.0,康普,2018_06_06,/home/cosbi/桌面/financialData/lineMemo_data/4739_康普_2018-06-06_4:49:53 PM.txt,4:49:53 PM,popowing
3653.0,健策,2018_06_07,/home/cosbi/桌面/financialData/lineMemo_data/3653_健策_2018-06-07_10:05:17 PM.txt,10:05:17 PM,popowing
3653.0,健策,2018_06_07,/home/cosbi/桌面/financialData/lineMemo_data/3653_健策_2018-06-07_10:06:57 PM.txt,10:06:57 PM,popowing
2327.0,國巨,2018_06_11,/home/cosbi/桌面/financialData/lineMemo_data/2327_國巨_2018-06-11_下午4:49:28.txt,下午4:49:28,popowing
2327.0,國巨,2018_06_11,/home/cosbi/桌面/financialData/lineMemo_data/2327_國巨_2018-06-11_下午8:10:53.txt,下午8:10:53,c21221203
5349.0,先豐,2018_06_11,/home/cosbi/桌面/financialData/lineMemo_data/5349_先豐_2018-06-11_下午8:11:57.txt,下午8:11:57,c21221203
1568.0,倉佑,2018_06_11,/home/cosbi/桌面/financialData/lineMemo_data/1568_倉佑_2018-06-11_下午8:12:20.txt,下午8:12:20,c21221203
3008.0,大立光,2018_06_13,/home/cosbi/桌面/financialData/lineMemo_data/3008_大立光_2018-06-13_6:54:03 AM.txt,6:54:03 AM,popowing
4566.0,時碩工業,2018_06_13,/home/cosbi/桌面/financialData/lineMemo_data/4566_時碩工業_2018-06-13_4:58:33 PM.txt,4:58:33 PM,popowing
3189.0,景碩,2018_06_13,/home/cosbi/桌面/financialData/lineMemo_data/3189_景碩_2018-06-13_7:36:30 PM.txt,7:36:30 PM,popowing
3354.0,律勝,2018_06_13,/home/cosbi/桌面/financialData/lineMemo_data/3354_律勝_2018-06-13_10:54:51 PM.txt,10:54:51 PM,popowing
9951.0,皇田,2018_06_15,/home/cosbi/桌面/financialData/lineMemo_data/9951_皇田_2018-06-15_4:08:19 PM.txt,4:08:19 PM,popowing
